Date,Open,High,Low,Close,Volume
12/31/2012,"2.20","2.26","2.20","2.26","8,922,699"
12/28/2012,"2.23","2.24","2.20","2.21","6,212,031"
12/27/2012,"2.23","2.26","2.20","2.25","8,416,285"
12/26/2012,"2.26","2.30","2.23","2.24","9,026,769"
12/24/2012,"2.24","2.29","2.24","2.29","5,636,947"
12/21/2012,"2.26","2.28","2.24","2.27","22,384,613"
12/20/2012,"2.30","2.32","2.27","2.30","13,817,923"
12/19/2012,"2.32","2.35","2.30","2.31","19,480,985"
12/18/2012,"2.28","2.34","2.28","2.31","23,316,564"
12/17/2012,"2.25","2.30","2.25","2.29","12,372,149"
12/14/2012,"2.25","2.29","2.24","2.25","15,344,161"
12/13/2012,"2.35","2.35","2.18","2.24","32,268,393"
12/12/2012,"2.35","2.39","2.33","2.35","30,958,187"
12/11/2012,"2.31","2.37","2.30","2.35","23,588,889"
12/10/2012,"2.30","2.32","2.28","2.30","13,946,279"
12/07/2012,"2.29","2.30","2.26","2.28","9,968,800"
12/06/2012,"2.25","2.32","2.23","2.26","9,905,965"
12/05/2012,"2.25","2.28","2.24","2.25","9,922,300"
12/04/2012,"2.27","2.32","2.24","2.26","18,963,184"
12/03/2012,"2.26","2.33","2.23","2.31","31,286,327"
11/30/2012,"2.24","2.29","2.20","2.25","21,304,282"
11/29/2012,"2.23","2.27","2.19","2.25","16,549,742"
11/28/2012,"2.13","2.29","2.13","2.22","22,879,508"
11/27/2012,"2.14","2.18","2.10","2.14","13,661,564"
11/26/2012,"2.14","2.15","2.11","2.15","7,443,293"
11/23/2012,"2.17","2.19","2.11","2.14","6,453,187"
11/21/2012,"2.17","2.23","2.15","2.16","14,447,010"
11/20/2012,"2.19","2.21","2.13","2.20","13,836,418"
11/19/2012,"2.14","2.22","2.12","2.19","20,888,241"
11/16/2012,"2.08","2.13","2.04","2.12","13,629,764"
11/15/2012,"2.09","2.10","2.03","2.05","14,759,130"
11/14/2012,"2.13","2.14","2.08","2.09","13,069,738"
11/13/2012,"2.09","2.13","2.05","2.11","14,973,962"
11/12/2012,"2.02","2.09","2.01","2.07","8,364,774"
11/09/2012,"2.04","2.06","1.99","2.02","12,945,433"
11/08/2012,"2.07","2.13","2.06","2.09","19,109,810"
11/07/2012,"2.07","2.14","2.05","2.10","25,731,281"
11/06/2012,"2.04","2.08","2.00","2.08","34,859,181"
11/05/2012,"1.99","2.11","1.96","2.10","30,736,802"
11/02/2012,"1.95","1.97","1.90","1.93","15,453,991"
11/01/2012,"1.88","1.97","1.88","1.95","15,360,826"
10/31/2012,"1.85","1.89","1.82","1.88","11,627,145"
10/26/2012,"1.84","1.85","1.80","1.83","7,159,582"
10/25/2012,"1.85","1.85","1.83","1.83","8,665,299"
10/24/2012,"1.90","1.90","1.82","1.83","15,245,536"
10/23/2012,"1.83","1.90","1.82","1.89","11,239,108"
10/22/2012,"1.87","1.87","1.82","1.86","7,052,977"
10/19/2012,"1.86","1.88","1.82","1.85","15,409,546"
10/18/2012,"1.93","1.93","1.85","1.87","11,114,218"
10/17/2012,"1.88","1.92","1.85","1.92","10,019,455"
10/16/2012,"1.84","1.87","1.82","1.87","7,188,727"
10/15/2012,"1.87","1.87","1.79","1.82","22,037,528"
10/12/2012,"1.89","1.92","1.83","1.84","14,813,040"
10/11/2012,"1.93","1.93","1.88","1.89","6,758,572"
10/10/2012,"1.89","1.91","1.87","1.89","7,575,953"
10/09/2012,"1.94","1.94","1.88","1.89","17,902,203"
10/08/2012,"1.92","1.96","1.91","1.95","13,350,104"
10/05/2012,"1.98","1.99","1.91","1.93","14,080,064"
10/04/2012,"2.00","2.01","1.91","1.96","23,118,129"
10/03/2012,"1.98","2.00","1.95","1.95","15,829,336"
10/02/2012,"1.95","1.99","1.93","1.99","10,934,546"
10/01/2012,"1.97","1.99","1.93","1.94","13,264,589"
09/28/2012,"1.92","1.99","1.91","1.95","65,150,137"
09/27/2012,"1.85","1.90","1.84","1.90","26,378,322"
09/26/2012,"1.84","1.89","1.83","1.84","22,909,824"
09/25/2012,"1.91","1.97","1.84","1.84","85,274,368"
09/24/2012,"1.97","2.07","1.96","2.04","19,530,080"
09/21/2012,"2.07","2.10","1.97","2.00","28,052,579"
09/20/2012,"2.06","2.10","2.05","2.06","13,685,593"
09/19/2012,"2.07","2.12","2.06","2.07","15,726,871"
09/18/2012,"2.13","2.13","2.05","2.09","26,827,228"
09/17/2012,"2.16","2.19","2.10","2.17","48,194,914"
09/14/2012,"2.00","2.04","1.98","2.03","23,050,059"
09/13/2012,"1.90","1.97","1.90","1.97","22,295,408"
09/12/2012,"1.86","1.91","1.85","1.89","17,180,028"
09/11/2012,"1.85","1.88","1.83","1.85","15,223,081"
09/10/2012,"1.95","1.96","1.82","1.82","22,260,248"
09/07/2012,"1.90","1.97","1.90","1.96","14,297,280"
09/06/2012,"1.87","1.93","1.86","1.90","12,624,656"
09/05/2012,"1.87","1.90","1.85","1.86","9,588,415"
09/04/2012,"1.90","1.93","1.86","1.88","11,287,455"
08/31/2012,"1.91","1.92","1.88","1.90","8,096,048"
08/30/2012,"1.91","1.92","1.87","1.89","9,844,615"
08/29/2012,"1.90","1.91","1.87","1.89","12,583,256"
08/28/2012,"1.89","1.96","1.87","1.91","21,039,862"
08/27/2012,"1.97","1.98","1.88","1.89","20,254,896"
08/24/2012,"2.00","2.02","1.96","1.97","21,450,187"
08/23/2012,"2.00","2.06","1.98","2.05","22,064,633"
08/22/2012,"1.93","2.00","1.93","2.00","11,632,363"
08/21/2012,"1.97","2.00","1.93","1.94","11,422,753"
08/20/2012,"2.01","2.03","1.94","1.97","17,685,138"
08/17/2012,"2.02","2.05","2.00","2.00","7,621,838"
08/16/2012,"1.97","2.03","1.97","2.02","10,034,605"
08/15/2012,"1.96","1.98","1.92","1.96","7,880,783"
08/14/2012,"2.05","2.08","1.95","1.96","11,900,052"
08/13/2012,"1.98","2.09","1.94","2.08","13,050,763"
08/10/2012,"1.95","2.00","1.95","2.00","10,610,861"
08/09/2012,"1.97","2.00","1.94","1.96","10,088,770"
08/08/2012,"1.99","2.00","1.91","1.94","19,633,445"
08/07/2012,"1.92","2.06","1.90","2.02","35,809,597"
08/06/2012,"1.84","1.91","1.84","1.88","22,922,559"
08/03/2012,"1.79","1.84","1.78","1.82","18,142,069"
08/02/2012,"1.79","1.79","1.70","1.74","19,575,260"
08/01/2012,"1.87","1.87","1.74","1.75","23,883,280"
