Date,Open,High,Low,Close,Volume
12/31/2010,"1.77","1.82","1.77","1.78","21,267,727"
12/30/2010,"1.85","1.86","1.76","1.77","30,616,036"
12/29/2010,"1.80","1.87","1.77","1.85","49,791,501"
12/28/2010,"1.72","1.78","1.67","1.76","60,848,897"
12/27/2010,"1.87","1.91","1.67","1.70","139,535,063"
12/23/2010,"2.08","2.17","1.99","2.01","23,356,899"
12/22/2010,"2.15","2.19","2.11","2.18","12,498,853"
12/21/2010,"2.12","2.18","2.11","2.15","11,665,182"
12/20/2010,"2.11","2.15","2.08","2.11","7,849,808"
12/17/2010,"2.09","2.10","2.05","2.09","12,207,269"
12/16/2010,"2.00","2.06","1.98","2.05","11,851,062"
12/15/2010,"1.91","2.00","1.90","1.97","11,143,513"
12/14/2010,"2.02","2.03","1.85","1.90","26,503,677"
12/13/2010,"2.11","2.12","2.03","2.04","6,154,971"
12/10/2010,"2.14","2.19","2.08","2.10","6,440,722"
12/09/2010,"2.17","2.18","2.11","2.14","6,089,751"
12/08/2010,"2.17","2.17","2.10","2.16","9,914,710"
12/07/2010,"2.03","2.16","2.00","2.10","19,673,240"
12/06/2010,"2.09","2.10","1.97","2.02","19,115,645"
12/03/2010,"2.13","2.15","2.06","2.10","17,406,918"
12/02/2010,"2.27","2.29","2.08","2.16","30,104,536"
12/01/2010,"2.39","2.43","2.23","2.29","19,487,645"
11/30/2010,"2.25","2.36","2.23","2.36","33,344,404"
11/29/2010,"2.36","2.40","2.22","2.29","17,183,163"
11/26/2010,"2.37","2.40","2.32","2.35","5,258,315"
11/24/2010,"2.35","2.40","2.29","2.36","21,374,407"
11/23/2010,"2.22","2.38","2.15","2.30","23,671,074"
11/22/2010,"2.10","2.23","2.10","2.23","22,949,604"
11/19/2010,"2.01","2.09","1.98","2.07","17,257,428"
11/18/2010,"2.04","2.05","1.93","1.99","14,343,735"
11/17/2010,"2.01","2.05","1.91","1.97","11,255,128"
11/16/2010,"2.07","2.09","1.89","1.98","20,215,986"
11/15/2010,"2.01","2.20","2.01","2.05","39,377,035"
11/12/2010,"1.88","2.03","1.87","1.99","40,937,577"
11/11/2010,"1.91","1.94","1.82","1.87","29,176,440"
11/10/2010,"1.63","2.00","1.60","1.96","45,915,617"
11/09/2010,"1.67","1.71","1.60","1.64","14,366,250"
11/08/2010,"1.63","1.67","1.60","1.67","7,642,133"
11/05/2010,"1.66","1.66","1.58","1.63","15,164,206"
11/04/2010,"1.51","1.69","1.48","1.66","28,122,044"
11/03/2010,"1.42","1.50","1.41","1.45","5,612,991"
11/02/2010,"1.45","1.46","1.40","1.42","4,836,980"
11/01/2010,"1.46","1.52","1.42","1.43","6,836,767"
10/29/2010,"1.41","1.46","1.40","1.46","4,210,234"
10/28/2010,"1.43","1.43","1.40","1.41","3,362,853"
