Date,Open,High,Low,Close,Volume
12/31/2018,"22.52","22.61","21.68","22.19","94,535,152"
12/28/2018,"21.54","22.42","21.23","22.26","149,085,033"
12/27/2018,"21.32","21.48","20.10","21.08","128,627,127"
12/26/2018,"20.00","21.80","19.61","21.74","122,447,196"
12/24/2018,"20.90","20.97","19.68","19.69","83,398,781"
12/21/2018,"21.16","21.56","20.83","21.32","120,252,123"
12/20/2018,"21.80","22.02","20.79","21.03","136,077,995"
12/19/2018,"22.51","23.13","21.98","22.20","124,112,827"
12/18/2018,"23.37","23.44","22.25","22.47","106,500,094"
12/17/2018,"24.13","24.38","22.93","23.23","115,110,238"
12/14/2018,"25.00","25.19","24.29","24.38","95,063,438"
12/13/2018,"24.68","25.16","24.45","25.12","110,487,923"
12/12/2018,"24.63","24.79","24.34","24.44","75,405,797"
12/11/2018,"24.66","24.81","24.02","24.45","94,631,617"
12/10/2018,"24.00","24.40","23.54","24.34","99,201,927"
12/07/2018,"24.60","25.30","23.84","23.86","172,667,892"
12/06/2018,"23.73","24.49","23.38","24.20","117,637,741"
12/04/2018,"23.74","24.58","23.47","23.98","126,929,305"
12/03/2018,"24.00","24.40","23.47","23.90","124,597,778"
11/30/2018,"22.79","23.44","22.55","23.37","84,433,497"
11/29/2018,"23.13","23.17","22.64","22.74","46,210,922"
11/28/2018,"23.07","23.22","22.81","23.19","61,913,734"
11/27/2018,"22.67","23.13","22.37","22.93","95,374,598"
11/26/2018,"21.67","23.08","21.67","23.07","119,882,223"
11/23/2018,"22.29","22.50","21.70","21.72","63,039,695"
11/21/2018,"23.47","23.54","22.49","22.55","70,302,192"
11/20/2018,"22.78","23.32","22.24","23.17","120,070,743"
11/19/2018,"23.76","24.45","23.53","23.56","145,633,215"
11/16/2018,"23.01","23.71","23.01","23.62","108,092,961"
11/15/2018,"22.82","23.24","22.60","23.23","69,385,841"
11/14/2018,"22.85","23.14","22.48","22.93","75,604,383"
11/13/2018,"22.21","22.98","22.15","22.58","81,729,039"
11/12/2018,"23.22","23.32","22.02","22.09","104,122,952"
11/09/2018,"23.27","23.60","23.02","23.37","76,482,769"
11/08/2018,"23.23","23.84","23.23","23.43","106,360,219"
11/07/2018,"22.89","23.41","22.72","23.21","110,617,929"
11/06/2018,"22.60","23.25","22.41","22.74","101,443,424"
11/05/2018,"22.70","22.93","22.01","22.76","117,465,841"
11/02/2018,"22.92","23.28","22.73","23.09","117,119,685"
11/01/2018,"22.55","23.19","22.31","22.95","120,002,088"
10/31/2018,"22.17","22.80","21.94","22.49","114,365,337"
10/30/2018,"21.89","22.53","21.48","21.99","136,900,701"
10/29/2018,"22.50","23.14","21.77","22.32","217,290,658"
10/26/2018,"20.55","22.66","20.44","22.06","411,383,222"
10/25/2018,"21.15","21.40","20.07","20.99","312,611,106"
10/24/2018,"20.07","20.30","19.05","19.23","300,874,179"
10/23/2018,"17.59","19.86","17.47","19.61","285,416,543"
10/22/2018,"17.38","17.46","16.84","17.40","84,003,986"
10/19/2018,"17.83","17.98","16.90","17.33","140,633,379"
10/18/2018,"17.95","18.07","17.53","17.59","81,317,859"
10/17/2018,"18.83","18.85","17.72","18.12","129,833,248"
10/16/2018,"17.71","18.49","17.48","18.44","142,896,147"
10/15/2018,"17.27","17.55","16.97","17.31","92,999,556"
10/12/2018,"17.40","17.47","16.80","17.25","108,021,171"
10/11/2018,"17.17","17.48","16.60","16.82","122,516,181"
10/10/2018,"17.64","17.70","16.52","17.13","192,229,412"
10/09/2018,"17.02","17.78","16.89","17.52","180,908,721"
10/08/2018,"17.63","17.85","16.60","16.70","202,089,943"
10/05/2018,"18.31","18.33","17.33","17.46","269,168,331"
10/04/2018,"19.60","19.60","18.51","18.79","147,213,331"
10/03/2018,"20.22","20.31","19.44","19.65","119,924,928"
10/02/2018,"20.93","21.12","19.94","20.07","176,152,816"
10/01/2018,"20.38","20.76","20.07","20.71","326,664,365"
09/28/2018,"18.02","18.53","17.37","17.65","504,745,778"
09/27/2018,"20.86","21.00","20.46","20.50","127,636,391"
09/26/2018,"20.13","20.93","20.07","20.64","117,648,361"
09/25/2018,"20.00","20.31","19.77","20.07","67,226,004"
09/24/2018,"19.90","20.20","19.57","19.98","72,644,475"
09/21/2018,"19.85","20.04","19.69","19.94","75,757,248"
09/20/2018,"20.24","20.40","19.56","19.89","110,241,428"
09/19/2018,"18.70","20.00","18.70","19.93","124,423,868"
09/18/2018,"19.78","20.18","18.37","19.00","248,213,055"
09/17/2018,"19.34","20.06","19.21","19.66","103,313,746"
09/14/2018,"19.25","19.82","19.10","19.68","101,484,284"
09/13/2018,"19.20","19.67","19.01","19.30","95,105,138"
09/12/2018,"18.76","19.50","18.58","19.37","150,231,589"
09/11/2018,"18.63","18.80","18.24","18.63","137,549,961"
09/10/2018,"18.22","19.07","18.07","19.03","214,253,140"
09/07/2018,"17.34","17.89","16.82","17.55","337,379,266"
09/06/2018,"18.99","19.41","18.59","18.73","112,211,515"
09/05/2018,"19.00","19.12","18.48","18.72","115,812,419"
09/04/2018,"19.80","19.88","19.20","19.26","125,257,149"
08/31/2018,"20.13","20.35","19.91","20.11","80,626,643"
08/30/2018,"20.15","20.31","19.85","20.21","108,250,701"
08/29/2018,"20.68","20.79","20.25","20.33","111,710,995"
08/28/2018,"21.23","21.26","20.75","20.79","114,736,483"
08/27/2018,"21.20","21.50","20.59","21.28","196,189,536"
08/24/2018,"21.38","21.59","21.29","21.52","54,038,515"
08/23/2018,"21.28","21.82","21.21","21.34","77,209,369"
08/22/2018,"21.39","21.59","20.98","21.44","89,189,417"
08/21/2018,"20.71","21.65","20.60","21.46","197,583,638"
08/20/2018,"19.45","20.57","19.21","20.56","261,035,338"
08/17/2018,"21.57","21.78","20.24","20.37","284,379,427"
08/16/2018,"22.66","22.82","22.25","22.36","90,960,588"
08/15/2018,"22.79","22.97","22.14","22.58","136,518,995"
08/14/2018,"23.90","23.95","23.14","23.18","104,796,528"
08/13/2018,"24.08","24.21","23.27","23.76","156,958,346"
08/10/2018,"23.60","24.00","23.07","23.70","173,280,778"
08/09/2018,"24.37","24.47","23.05","23.50","257,757,400"
08/08/2018,"24.61","25.51","24.47","24.69","368,567,809"
08/07/2018,"22.92","25.83","22.61","25.30","463,137,026"
08/06/2018,"23.03","23.67","22.79","22.80","128,465,112"
08/03/2018,"23.19","23.67","22.84","23.21","204,847,530"
08/02/2018,"21.90","23.33","21.54","23.30","348,224,773"
08/01/2018,"19.87","20.20","19.53","20.06","151,941,591"
07/31/2018,"19.48","19.89","19.27","19.88","76,153,818"
07/30/2018,"19.73","19.74","19.08","19.34","102,211,170"
07/27/2018,"20.48","20.51","19.69","19.81","85,549,978"
07/26/2018,"20.32","20.71","20.24","20.44","69,457,886"
07/25/2018,"19.78","20.64","19.63","20.58","106,412,809"
07/24/2018,"20.29","20.51","19.50","19.83","143,861,908"
07/23/2018,"20.12","20.37","19.52","20.21","164,894,404"
07/20/2018,"21.42","21.55","20.78","20.91","77,498,270"
07/19/2018,"21.09","21.57","20.93","21.35","88,730,266"
07/18/2018,"21.67","21.70","21.08","21.59","84,363,237"
07/17/2018,"20.59","21.65","20.57","21.51","104,943,588"
07/16/2018,"20.78","21.01","20.42","20.67","117,279,930"
07/13/2018,"21.04","21.31","20.62","21.26","88,136,626"
07/12/2018,"21.43","21.55","20.85","21.11","85,817,578"
07/11/2018,"21.05","21.46","21.00","21.26","73,261,215"
07/10/2018,"21.64","21.85","21.28","21.50","142,072,601"
07/09/2018,"20.80","21.23","20.53","21.23","113,951,397"
07/06/2018,"20.33","20.80","20.13","20.59","132,981,902"
07/05/2018,"20.92","20.96","19.75","20.61","262,145,804"
07/03/2018,"22.12","22.17","20.65","20.72","184,239,819"
07/02/2018,"24.00","24.32","21.99","22.34","281,396,839"
06/29/2018,"23.56","23.59","22.83","22.86","97,386,040"
06/28/2018,"23.24","23.80","23.07","23.33","125,970,204"
06/27/2018,"23.00","23.39","22.63","22.97","125,006,018"
06/26/2018,"22.40","22.90","21.72","22.80","111,787,420"
06/25/2018,"22.01","22.56","21.83","22.20","103,969,667"
06/22/2018,"23.44","23.48","22.13","22.24","153,991,058"
06/21/2018,"24.13","24.41","23.08","23.17","119,507,298"
06/20/2018,"23.87","24.29","23.47","24.15","125,754,969"
06/19/2018,"24.34","24.67","23.08","23.50","191,428,697"
06/18/2018,"23.69","24.92","23.63","24.72","181,098,621"
06/15/2018,"23.59","24.31","23.42","23.88","162,723,902"
06/14/2018,"23.18","23.92","23.11","23.85","164,715,469"
06/13/2018,"23.11","23.15","22.65","22.99","142,047,221"
06/12/2018,"22.98","23.66","22.53","22.85","335,211,344"
06/11/2018,"21.50","22.31","21.50","22.14","197,752,238"
06/08/2018,"21.27","21.63","21.14","21.18","123,078,141"
06/07/2018,"21.08","22.00","20.91","21.07","215,179,271"
06/06/2018,"20.03","21.48","19.83","21.30","281,509,339"
06/05/2018,"19.85","19.85","19.12","19.41","89,927,447"
06/04/2018,"19.62","19.93","19.57","19.78","71,967,224"
06/01/2018,"19.06","19.46","18.92","19.45","81,365,874"
05/31/2018,"19.15","19.36","18.86","18.98","88,795,906"
05/30/2018,"18.89","19.67","18.77","19.45","112,345,405"
05/29/2018,"18.57","19.10","18.41","18.92","84,999,687"
05/25/2018,"18.51","18.64","18.37","18.59","58,126,290"
05/24/2018,"18.56","18.74","18.33","18.52","62,650,684"
05/23/2018,"18.52","18.66","18.27","18.60","89,775,887"
05/22/2018,"19.18","19.20","18.23","18.33","134,186,478"
05/21/2018,"18.76","19.43","18.75","18.97","137,738,706"
05/18/2018,"18.98","18.98","18.27","18.45","108,778,417"
05/17/2018,"19.06","19.28","18.93","18.97","66,309,248"
05/16/2018,"18.92","19.25","18.77","19.10","85,110,372"
05/15/2018,"19.00","19.13","18.70","18.95","142,786,752"
05/14/2018,"20.22","20.33","19.44","19.46","109,302,187"
05/11/2018,"20.51","20.59","19.94","20.07","70,194,792"
05/10/2018,"20.50","20.87","20.27","20.33","84,773,517"
05/09/2018,"20.03","20.47","20.00","20.46","85,910,548"
05/08/2018,"20.05","20.52","19.93","20.13","88,950,091"
05/07/2018,"19.83","20.40","19.68","20.18","130,173,494"
05/04/2018,"18.87","19.79","18.63","19.61","128,540,412"
05/03/2018,"18.59","19.20","18.35","18.96","260,282,202"
05/02/2018,"19.90","20.46","19.85","20.08","134,555,673"
05/01/2018,"19.57","20.05","19.55","19.99","69,384,116"
04/30/2018,"19.57","19.92","19.50","19.59","63,422,645"
